NAME BRAND PRICE INCH WEIGHT MEMORY STORAGE
ZEPHYRUS_G14 ASUS 2109430 14 1.5 16 512
OMEN_14_SLIM HP 2899000 14 1.65 32 1024
CREATOR_M14 MSI 1649000 14 1.6 16 512
LEGION_SLIM_5 LENOVO 2099000 14 1.7 32 512
ALIENWARE_X14_R2 DELL 3390000 14 2.08 32 1024
BLADE_14_R9 RAZER 4101780 14 1.84 32 1024
TUF_GAMING_A15 ASUS 1615000 15 2.2 16 2048
THIN_A15 MSI 1339890 15 1.86 8 512
VICTUS_15 HP 1489070 15 2.29 16 512
XPS_15_9530 DELL 4470000 15 1.92 32 1024
LOQ_15IRX LENOVO 1608990 15 2.4 32 512
BLADE_15_ADVANCED RAZER 3679920 15 2.01 16 1024
TUF_GAMING_A16 ASUS 1985000 16 2.27 16 1024
LEGION_PRO_5i LENOVO 2699000 16 2.5 32 1024
VICTUS_16 HP 1789000 16 2.31 16 512
PRESTIGE_16_AI_STUDIO MSI 3599990 16 1.6 32 1024
INSPRION_16_PLUS_7630 DELL 2544760 16 2.05 16 1024
BLADE_16 RAZER 7189000 16 2.45 64 4096
VECTOR_17_HX MSI 3248950 17 3 16 1024
TUF_GAMING_F17 ASUS 1947310 17 2.6 32 512
OMEN_17 HP 2136550 17 2.77 32 512
XPS_17_9730 DELL 5680000 17 2.44 32 1024
ROG_STRIX_G18 ASUS 3810000 18 3.1 32 1024
RAIDER_18_HX MSI 4999000 18 3.6 32 2048
BLADE_18 RAZER 5561800 18 3.2 32 1024
ALIENWARE_M18 DELL 5840000 18 4.04 32 1024


